epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7285,1.25125,4.71166,1.3652,0.44442,0.54125,0.55694,0.44755,1.21116,4.01811,1.15574,3.90354e-05,3.90354e-05,3.90354e-05
2,41.1063,1.2748,2.994,1.22317,0.93168,0.92181,0.95668,0.66961,1.28905,1.19291,1.12606,7.6817e-05,7.6817e-05,7.6817e-05
3,59.6717,1.26663,1.41674,1.2133,0.94247,0.95904,0.97864,0.66958,1.23147,0.81035,1.20368,0.000113041,0.000113041,0.000113041
4,78.5963,1.16852,1.05641,1.19277,0.9649,0.96843,0.98502,0.72476,1.08614,0.70436,1.13839,0.000110991,0.000110991,0.000110991
5,97.5624,1.06165,0.89489,1.17239,0.98273,0.9769,0.98933,0.72965,1.08483,0.6463,1.13774,0.000108654,0.000108654,0.000108654
6,116.537,1.01523,0.8233,1.1485,0.99082,0.98268,0.99395,0.73923,1.05913,0.60476,1.13323,0.000106318,0.000106318,0.000106318
7,135.675,0.98566,0.75856,1.15005,0.99232,0.98239,0.99261,0.73769,1.03499,0.57638,1.12783,0.000103982,0.000103982,0.000103982
8,154.196,0.94458,0.72506,1.12936,0.99142,0.9802,0.99164,0.74959,0.99689,0.5805,1.12613,0.000101645,0.000101645,0.000101645
9,173.05,0.93113,0.68847,1.12231,0.98674,0.98185,0.99101,0.74219,0.99649,0.5478,1.11071,9.93088e-05,9.93088e-05,9.93088e-05
10,191.711,0.90822,0.66416,1.11349,0.98737,0.9802,0.99113,0.73826,1.04328,0.54669,1.14143,9.69724e-05,9.69724e-05,9.69724e-05
11,210.357,0.89364,0.65268,1.1055,0.99082,0.98185,0.9902,0.73688,1.01548,0.54022,1.12838,9.4636e-05,9.4636e-05,9.4636e-05
12,229.025,0.86911,0.62457,1.09505,0.98702,0.98515,0.99322,0.74752,0.9962,0.50217,1.11974,9.22996e-05,9.22996e-05,9.22996e-05
13,247.799,0.86037,0.60471,1.08917,0.9886,0.9781,0.99193,0.73566,1.02355,0.52305,1.11084,8.99632e-05,8.99632e-05,8.99632e-05
14,266.611,0.85864,0.58912,1.08893,0.98297,0.97885,0.99008,0.73483,1.01063,0.49466,1.10668,8.76268e-05,8.76268e-05,8.76268e-05
15,285.51,0.84825,0.58478,1.07593,0.99347,0.98292,0.99116,0.74311,0.98996,0.51245,1.10041,8.52904e-05,8.52904e-05,8.52904e-05
16,304.282,0.82938,0.56896,1.06991,0.99047,0.98442,0.99175,0.73638,1.0138,0.50318,1.10884,8.2954e-05,8.2954e-05,8.2954e-05
17,323.138,0.8282,0.56742,1.06932,0.98997,0.98324,0.99145,0.74545,1.01295,0.48585,1.10711,8.06176e-05,8.06176e-05,8.06176e-05
18,342.744,0.81778,0.56002,1.06819,0.99111,0.9831,0.99245,0.74234,1.00724,0.47623,1.09861,7.82812e-05,7.82812e-05,7.82812e-05
19,362.587,0.80373,0.54355,1.06158,0.98383,0.9846,0.99078,0.73365,1.02893,0.47998,1.11884,7.59448e-05,7.59448e-05,7.59448e-05
20,381.72,0.80268,0.5412,1.06042,0.98493,0.98281,0.99109,0.74316,1.00345,0.47901,1.09642,7.36084e-05,7.36084e-05,7.36084e-05
21,400.74,0.81888,0.54277,1.06155,0.99144,0.98785,0.99165,0.74271,1.02441,0.45136,1.10784,7.1272e-05,7.1272e-05,7.1272e-05
22,420.204,0.79415,0.52658,1.05604,0.98415,0.9889,0.98929,0.73761,1.0205,0.46569,1.10777,6.89356e-05,6.89356e-05,6.89356e-05
23,439.25,0.77821,0.52235,1.04486,0.98692,0.97914,0.99019,0.72997,1.02728,0.45662,1.11237,6.65992e-05,6.65992e-05,6.65992e-05
24,458.23,0.77548,0.50893,1.04598,0.9883,0.98845,0.99336,0.73859,1.01808,0.46029,1.10694,6.42628e-05,6.42628e-05,6.42628e-05
25,477.1,0.77178,0.50202,1.04493,0.9937,0.98268,0.99394,0.7304,1.0541,0.45298,1.13308,6.19264e-05,6.19264e-05,6.19264e-05
26,496.017,0.76807,0.49916,1.04136,0.98475,0.98946,0.99292,0.73917,1.02788,0.45569,1.10782,5.959e-05,5.959e-05,5.959e-05
27,515.049,0.76025,0.49339,1.04028,0.98828,0.98582,0.9908,0.73173,1.05221,0.45711,1.12045,5.72536e-05,5.72536e-05,5.72536e-05
28,533.791,0.75393,0.48801,1.03271,0.99223,0.98647,0.99035,0.74257,1.02899,0.44468,1.11479,5.49172e-05,5.49172e-05,5.49172e-05
29,552.443,0.74907,0.4784,1.03413,0.98878,0.98366,0.99138,0.7322,1.0616,0.43892,1.1404,5.25808e-05,5.25808e-05,5.25808e-05
30,571.304,0.74618,0.47854,1.03264,0.98679,0.98385,0.99027,0.7352,1.03589,0.43981,1.12128,5.02444e-05,5.02444e-05,5.02444e-05
31,590.014,0.73732,0.4722,1.02873,0.97808,0.98845,0.98981,0.73042,1.04326,0.44818,1.12363,4.7908e-05,4.7908e-05,4.7908e-05
32,608.697,0.72522,0.46532,1.01977,0.98841,0.9852,0.99309,0.72956,1.04648,0.43666,1.11969,4.55716e-05,4.55716e-05,4.55716e-05
33,627.361,0.73296,0.46229,1.01936,0.99532,0.98409,0.99307,0.72753,1.05135,0.43285,1.12245,4.32352e-05,4.32352e-05,4.32352e-05
34,645.94,0.718,0.45388,1.01772,0.99533,0.98785,0.99233,0.7283,1.04484,0.42198,1.12443,4.08988e-05,4.08988e-05,4.08988e-05
35,664.769,0.71368,0.45297,1.01937,0.98712,0.9868,0.99252,0.72795,1.05258,0.43441,1.12859,3.85624e-05,3.85624e-05,3.85624e-05
36,683.584,0.71433,0.44704,1.01669,0.99316,0.98845,0.9931,0.73376,1.03617,0.41953,1.12868,3.6226e-05,3.6226e-05,3.6226e-05
37,702.321,0.70386,0.44693,1.01052,0.99292,0.98944,0.99271,0.73702,1.04595,0.42193,1.13176,3.38896e-05,3.38896e-05,3.38896e-05
38,721.036,0.70028,0.44253,1.01419,0.98672,0.98635,0.99028,0.72594,1.06403,0.42056,1.14987,3.15532e-05,3.15532e-05,3.15532e-05
39,739.932,0.69304,0.4455,1.00984,0.98525,0.98705,0.99158,0.72794,1.05093,0.42728,1.12954,2.92168e-05,2.92168e-05,2.92168e-05
40,758.745,0.69778,0.43355,1.0071,0.99342,0.98314,0.99239,0.72641,1.05326,0.426,1.13274,2.68804e-05,2.68804e-05,2.68804e-05
41,799.741,0.643,0.40745,0.96079,0.99309,0.98845,0.99473,0.72373,1.05019,0.4326,1.14864,2.4544e-05,2.4544e-05,2.4544e-05
42,818.698,0.62207,0.37896,0.95251,0.99263,0.99276,0.99479,0.72592,1.04661,0.41795,1.14248,2.22076e-05,2.22076e-05,2.22076e-05
43,837.407,0.6119,0.36824,0.9439,0.99164,0.99264,0.99466,0.72449,1.04085,0.41737,1.13586,1.98712e-05,1.98712e-05,1.98712e-05
44,856.369,0.59565,0.35831,0.94343,0.99148,0.99175,0.99473,0.72772,1.045,0.4088,1.14701,1.75348e-05,1.75348e-05,1.75348e-05
45,875.191,0.58875,0.35451,0.93762,0.99292,0.98989,0.99168,0.72626,1.04466,0.40548,1.1419,1.51984e-05,1.51984e-05,1.51984e-05
46,893.81,0.58583,0.3542,0.93124,0.99219,0.9901,0.99222,0.7261,1.05376,0.40601,1.15025,1.2862e-05,1.2862e-05,1.2862e-05
